run_id,arm,rep,seq,round,seat,status,total_pool_tonnes,uk_tranche_tonnes,allocation,out_of_quota_rate_pct,duration_years,review_clause,other_terms,message_chars
accommodating__rep1__2026-08-24T20-54-07-920Z,accommodating,1,5,1,eu-geneva,opening,,,country_specific,50,3,True,"UK country-specific share within the TRQ based on recent historical trade volumes, rather than global first-come-first-served | Open to discussing narrower scope or carve-out of FTA-disapplication text as it applies to UK-origin steel under the TCA | Review clause at end of year 2 to reassess volume and rate in light of market conditions | Compensation elsewhere in EU schedule remains available for discussion if TRQ/allocation terms do not fully offset assessed UK trade loss",1146
accommodating__rep1__2026-08-24T20-54-07-920Z,accommodating,1,6,1,uk-geneva,counter,,,country_specific,,,True,"UK country-specific share within TRQ set by reference to historical trade share (approx. 2.4 million tonnes/year baseline) | UK-origin steel excluded from FTA disapplication text; TCA treated as distinct from third-country FTAs | Sub-quotas or carve-outs for product lines where UK exports are most concentrated | Review clause tied to a fixed date, not open-ended duration",1824
accommodating__rep1__2026-08-24T20-54-07-920Z,accommodating,1,18,2,eu-geneva,,,,,,,,,2202
accommodating__rep1__2026-08-24T20-54-07-920Z,accommodating,1,19,2,uk-geneva,counter,,,country_specific,15,3,True,"UK country-specific share of 2.2 million tonnes within the global TRQ | Ring-fenced sub-quotas for UK's most concentrated product lines, additive to an adequate headline figure, not a substitute for it | FTA/TCA disapplication narrowed to cover materially more of UK trade by value, not limited to two or three lines; full exclusion remains our preferred position | Review clause at 18 months, empowered to adjust headline terms, not merely descriptive | Out-of-quota rate proposed at 15% | Flagged: improved treatment for EU exporters under UK's own steel safeguard could be discussed as part of an overall package if EU moves substantially on volume, allocation and FTA scope",2226
accommodating__rep1__2026-08-24T20-54-07-920Z,accommodating,1,30,3,eu-geneva,counter,,,country_specific,35,3,True,"UK country-specific share of approximately 1.55 million tonnes within the 700,000t global TRQ | Ring-fenced sub-quotas within the UK share for the 2-3 product lines where UK exports are most concentrated | FTA/TCA disapplication text narrowed to exempt the majority of UK-origin trade by value from disapplication; full exclusion not offered | Review clause at year 3, structured as a data/trade-flow review, not an automatic reopener of headline terms; 18-month adjustable review not accepted",1833
accommodating__rep1__2026-08-24T20-54-07-920Z,accommodating,1,31,3,uk-geneva,counter,,,country_specific,15,3,True,"UK country-specific share within the global TRQ, indicative landing zone ~2.0 million tonnes, conditional on rate and FTA movement described here | Sub-quota ring-fencing retained for UK's 2-3 most concentrated product lines, additive to headline share not a substitute | FTA/TCA disapplication narrowed to cover at least 80% of UK-origin trade by value, not limited to concentrated lines | Review at 18 months structured as a triggered mechanism (utilisation/price thresholds) permitting adjustment of volume and/or rate, short of full headline reopening | Conditional, non-binding signal: improved country-specific treatment for EU exporters under UK's own safeguard measure remains available as part of an eventual package if EU moves further on rate and FTA scope",1768
accommodating__rep1__2026-08-24T20-54-07-920Z,accommodating,1,42,4,eu-geneva,counter,,,country_specific,25,5,True,"UK country-specific share of approximately 1.7 million tonnes within the 750,000t global TRQ | Sub-quota ring-fencing retained for the UK's 2-3 most concentrated product lines within the higher share | FTA/TCA disapplication narrowing quantified at 70% of UK-origin trade by value | 18-month checkpoint mechanism with a defined objective trigger (utilisation threshold or import-surge/price indicator), limited to adjusting in-quota volume only within a capped band of +/-20% | Checkpoint explicitly excluded from adjusting the out-of-quota rate, FTA/TCA scope, or any other headline term | Duration of 5 years flagged for discussion",2326
accommodating__rep1__2026-08-24T20-54-07-920Z,accommodating,1,43,4,uk-geneva,counter,,,country_specific,20,4,True,"UK country-specific share of 1,850,000 tonnes within a global country-specific TRQ | Out-of-quota rate of 20%, with stated flexibility to 22% if FTA scope and checkpoint terms improve | FTA/TCA disapplication narrowed to cover at least 75% of UK-origin trade by value, with an annexed line list | Sub-quota ring-fencing for the UK's most concentrated product lines within the headline share, retained from prior rounds | 18-month checkpoint with objective, defined trigger (utilisation threshold or import-surge/price indicator), empowered to adjust either in-quota volume (wider band) or out-of-quota rate (capped band), not unlimited on both simultaneously | Duration of 4 years if checkpoint has adjustment power on volume or rate; UK would accept 5 years only if checkpoint retains meaningful rate-adjustment capability | Conditional, non-binding signal repeated: improved country-specific treatment for EU exporters under the UK's own steel safeguard remains available as part of a final package if EU closes remaining gaps on rate, FTA scope and checkpoint design",2370
accommodating__rep1__2026-08-24T20-54-07-920Z,accommodating,1,54,5,eu-geneva,counter,,,country_specific,22,5,True,"UK country-specific share of approximately 1.8 million tonnes within the 800,000t global TRQ | Sub-quota ring-fencing within the UK share for the UK's 2-3 most concentrated product lines | FTA/TCA disapplication narrowed to cover 73% of UK-origin trade by value, with an annexed line list specifying covered tariff lines | 18-month checkpoint mechanism on a defined, objective trigger (quota utilisation threshold or import-surge/price indicator), capable of adjusting EITHER in-quota volume (band up to +/-25%) OR out-of-quota rate (band up to +/-3 percentage points), not both simultaneously, and not extending to FTA/TCA scope | Checkpoint is bounded and non-rolling: it cannot reopen headline terms outside the defined trigger and band",2144
accommodating__rep1__2026-08-24T20-54-07-920Z,accommodating,1,55,5,uk-geneva,accept,,,country_specific,22,5,True,"Global TRQ of 800,000 tonnes with UK-specific country share of 1.8 million tonnes | FTA/TCA disapplication narrowed to cover 73% of UK-origin trade by value, with an annexed product line list | Sub-quota ring-fencing retained for UK's most concentrated product lines within the headline share | Eighteen-month checkpoint on a defined, objective trigger (quota utilisation threshold or import-surge/price indicator), capable of adjusting either in-quota volume (up to +/-25%) or out-of-quota rate (up to +/-3 percentage points), not both simultaneously | UK to offer improved country-specific quota treatment for EU exporters under UK's own steel safeguard measure as part of the closing package, to be finalised in parallel | Both sides to proceed to respective domestic sign-off processes (UK ministerial clearance; EU Council vote) on this basis",1576
accommodating__rep1__2026-08-24T20-54-07-920Z,accommodating,1,65,6,eu-geneva,accept,,,country_specific,22,5,True,"UK country-specific share of approximately 1.8 million tonnes within the 800,000t global TRQ | Sub-quota ring-fencing retained for UK's most concentrated product lines within the headline share | FTA/TCA disapplication narrowed to 73% of UK-origin trade by value, with a jointly-drafted annexed line list | 18-month checkpoint on a defined objective trigger (quota utilisation threshold or import-surge/price indicator), capable of adjusting EITHER in-quota volume (up to ±25%) OR out-of-quota rate (up to ±3 percentage points), not both simultaneously, and not touching FTA/TCA scope | UK to provide concrete, quantified specificity on improved country-specific treatment for EU exporters under its own steel safeguard measure, documented as a linked commitment | Joint technical drafting of the FTA/TCA line list to begin immediately, ahead of Council and ministerial sign-off | Both sides to proceed to capital/ministerial and Council approval in parallel, targeting the June Council vote",1806
accommodating__rep1__2026-08-24T20-54-07-920Z,accommodating,1,66,6,uk-geneva,accept,,,country_specific,22,5,True,"Global TRQ of 800,000 tonnes, UK country-specific share of approximately 1.8 million tonnes within it | FTA/TCA disapplication narrowed to 73% of UK-origin trade by value, with a jointly drafted, legally annexed line list | Sub-quota ring-fencing retained for UK's most concentrated product lines within the headline share; UK to seek licensing administration of its own sub-quota rather than FCFS | 18-month checkpoint on a defined, objective trigger (utilisation exceeding a rolling 12-month threshold, or a defined price/import-surge indicator on ring-fenced lines) capable of adjusting either in-quota volume (up to ±25%) or out-of-quota rate (up to ±3 percentage points), not both simultaneously, and not extending to FTA/TCA scope | Parallel UK commitment to bring forward quantified, country-specific improved treatment for EU exporters under the UK's own steel safeguard measure, drafted on a comparable timeline | Joint technical drafting channel to be established immediately for the line-list annex and checkpoint trigger definitions, running alongside EU Council process and UK ministerial clearance",2191
accommodating__rep1__2026-08-26T19-39-00-132Z,accommodating,1,5,1,eu-geneva,opening,500000,150000,country_specific,40,3,True,Willingness to discuss bespoke treatment of TCA preferences rather than blanket FTA disapplication | Expectation of reciprocal discussion on EU exporters' allocations under the UK's own steel safeguard | Openness to circumvention/enforcement provisions to be negotiated jointly,1024
accommodating__rep1__2026-08-26T19-39-00-132Z,accommodating,1,6,1,uk-geneva,,,,,,,,,1527
accommodating__rep1__2026-08-26T19-39-00-132Z,accommodating,1,17,2,eu-geneva,counter,600000,250000,country_specific,35,3,True,Review clause recast as data-triggered (import volume/price thresholds) rather than purely discretionary | Firm commitment to TCA-specific treatment of UK-origin steel in place of blanket FTA disapplication | TCA-specific treatment offer conditioned on UK providing concrete detail on treatment of EU exporters under UK's own safeguard measure before Round 3 | No movement on volume/rate beyond this offer until reciprocal UK detail is on the table,1589
