run_id,arm,rep,seq,round,seat,status,total_pool_tonnes,uk_tranche_tonnes,allocation,out_of_quota_rate_pct,duration_years,review_clause,other_terms,message_chars
accommodating__rep1__2026-08-27T16-31-01-925Z,accommodating,1,5,1,eu-geneva,opening,800000,400000,country_specific,40,8,True,"licensing based on recent historical trade, quarterly openings, limited carry-over | TCA preferential treatment preserved for UK-originating steel within the UK tranche | melt-and-pour origin evidence and anti-circumvention/transhipment controls | compensation to be valued across the EU schedule; UK to identify priority lines | reciprocal stability for EU exporters under the UK's steel measure and country-specific quotas",1015
accommodating__rep1__2026-08-27T16-31-01-925Z,accommodating,1,6,1,uk-geneva,counter,4000000,1800000,country_specific,25,5,True,"UK tranche set by recent-reference period with licensing, not first-come first-served | No blanket disapplication of TCA preferences for UK-originating steel; preferences preserved at least within the tranche and administration must not nullify them | Proportionate melt-and-pour and anti-circumvention rules with consultation before remedies and no retroactive duty shocks | Review at year three; extension beyond five years only by mutual agreement | Residual gap below recent UK trade to be offset by concessions on mutually identified EU schedule lines | Reciprocal stability for EU exporters under the UK steel measure only as part of an overall package | Targeted carve-outs for concentrated UK product lines where EU supply dependence is high",1233
accommodating__rep1__2026-08-27T16-31-01-925Z,accommodating,1,18,2,eu-geneva,counter,1000000,550000,country_specific,40,6,True,"Licence administration on a recent-reference basis | Year-three review examines operation and market conditions only; no automatic alteration of volumes, allocation or rates | TCA preferences preserved for UK-originating steel within the UK tranche; all preferential access counts within the tranche; no separate FTA pool | Melt-and-pour and anti-circumvention discipline as a condition of preferential treatment | Operation of FTA disapplication outside the tranche to be examined at the year-three review; no removal conceded | Explicit UK commitment not to initiate, join, encourage or coordinate any FTA or WTO dispute concerning this measure | UK to identify concrete priority compensation lines for any residual imbalance | Reciprocal predictability for EU exporters under the UK steel measure: no worsening of EU country-specific access for at least three years, transparent administration, advance consultation before changes",1960
accommodating__rep1__2026-08-27T16-31-01-925Z,accommodating,1,19,2,uk-geneva,counter,3000000,1800000,country_specific,25,6,True,"Review at year three must be empowered to adjust volumes, allocation and rates in light of market conditions, not merely examine operation | TCA preferences preserved for UK-originating steel across the full UK tranche; all preferential access counts within the tranche | No blanket disapplication of FTA preferences outside the tranche — removal, not merely examination at review | Melt-and-pour and anti-circumvention based on standard certification and existing customs data; automatic or near-automatic licensing; no additional testing or registration burden | Quota-fill monitored with unused UK tranche capacity reallocated rather than lapsing | Country-specific allocations administered on a recent-reference basis | UK statement of intent to remain within Article XXVIII is conditional on continued substantive progress and does not waive FTA or WTO rights | Priority compensation lines to be discussed technically after the EU's next move on the tranche | Reciprocal predictability for EU exporters under the UK steel measure under consideration in capital; substantive response next round",2440
accommodating__rep1__2026-08-27T16-31-01-925Z,accommodating,1,30,3,eu-geneva,counter,1100000,620000,country_specific,40,6,True,"Year-three review may recommend volume/rate adjustments only on objective pre-defined triggers (import surge relative to domestic demand; capacity utilisation below agreed threshold), subject to mutual agreement, capped at +/-15% of agreed tranche volume, exercisable once; no automatic alteration | UK tranche is a locked country-specific allocation protected in legal text from dilution or reallocation under separate Turkey, Korea, India and Japan Article XXVIII processes | TCA preferences preserved for UK-originating steel within the UK tranche; all preferential access counts within the tranche; no separate FTA pool | FTA disapplication outside the tranche maintained; its operation examinable at the year-three review only | Licence administration on recent-reference basis with standard melt-and-pour certification, existing customs data, automatic licensing, monitored quota-fill and reallocation of unused tranche capacity | Signalled conditional room to move tranche toward 700,000 within 1.2M pool on delivery of firm non-dispute commitment, substantive UK-measure offer, and material UK movement off 1.8M | Conditions: explicit UK commitment not to initiate, join, encourage or coordinate any FTA/WTO dispute on this measure for the regime's duration; no worsening of EU country-specific access under UK steel measure for at least three years with transparent administration and advance consultation; UK tables indicative compensation hierarchy for technical-level engagement",2520
accommodating__rep1__2026-08-27T16-31-01-925Z,accommodating,1,31,3,uk-geneva,counter,3000000,1800000,country_specific,25,6,True,"UK tranche legally locked in text: separate Article XXVIII processes with Turkey, Korea, India and Japan cannot dilute or reallocate it — welcomed; must appear in drafting | Year-three review with objective pre-defined triggers (import surge relative to domestic demand; capacity utilisation below agreed threshold) capable of recommending adjustments to volumes and rates — architecture accepted in principle; trigger definitions, the 15% cap and single-use limitation subject to further discussion | TCA preferences preserved for UK-originating steel across the full UK tranche, preferential access counting within the tranche | UK offer: no worsening of EU country-specific access under the UK steel measure for three years, transparent administration, advance consultation before changes — tabled in response to EU tranche movement and as part of the package | Indicative, explicitly non-binding compensation hierarchy tabled for technical-level development: certain aluminium lines, certain chemical and fertiliser lines, certain agri-food lines, certain machinery lines — conditional on final tranche and rate | Dispute restraint counter-offer: UK will not initiate or join a dispute concerning this measure while it operates as agreed, as part of the final package and contingent on mutual performance; 'encourage or coordinate' formulation rejected | Melt-and-pour and anti-circumvention disciplines acceptable only on standard certification and existing customs data, automatic or near-automatic licensing, monitored quota-fill with reallocation of unused tranche capacity | FTA disapplication outside the tranche must fall within the scope of the year-three review with a presumption of remedy | UK signals flexibility on total pool size if the UK tranche reaches a defensible level, given the legal lock",3800
accommodating__rep1__2026-08-27T16-31-01-925Z,accommodating,1,41,4,eu-geneva,counter,1100000,750000,country_specific,35,6,True,"FINAL PACKAGE — integrated, no further rounds | Conditional closing upgrade: UK tranche rises to 800,000 tonnes with pool held at 1,000,000 (~80% locked UK share) only upon same-round UK acceptance of the full package (35% rate, restraint commitment, steel-measure standstill) | UK tranche locked in legal text: no dilution or reallocation by separate Turkey/Korea/India/Japan Article XXVIII processes | Licence administration on recent-reference basis; melt-and-pour and anti-circumvention via standard certification, automatic licensing, monitored quota-fill, reallocation of unused capacity | Year-three review may recommend volume/rate adjustments on objective pre-defined triggers (import surge relative to domestic demand; capacity utilisation below agreed threshold), subject to mutual agreement, single exercise; cap raised from 15% to 20% with review of the cap at year five — traded specifically for UK acceptance of 35% rate | TCA preferences preserved for UK-originating steel within the UK tranche; all UK preferential access counts within the tranche; no separate FTA pool | FTA disapplication remains in force outside the tranche; its operation enters the year-three review with a presumption that demonstrated injury will be remedied, remedies flowing through the same trigger/mutual-agreement/cap architecture; removal not conceded | UK restraint commitment accepted in UK's formulation: UK will not initiate or join a dispute concerning this measure while it operates as agreed, contingent on mutual performance; 'encourage or coordinate' dropped | UK steel-measure standstill: no worsening of EU country-specific access for three years, transparent administration, advance consultation before changes | Technical-level engagement on UK compensation hierarchy (aluminium, chemicals/fertilisers, agri-food, machinery); no line commitments or valuations; all subject to Trade Policy Committee consultation",3887
accommodating__rep1__2026-08-27T16-31-01-925Z,accommodating,1,42,4,uk-geneva,counter,1200000,1150000,country_specific,25,6,True,"UK tranche locked in legal text against dilution or reallocation by the EU's separate Article XXVIII processes with Turkey, Korea, India and Japan | Licence-administered on a recent-reference basis; automatic or near-automatic licensing; quota-fill monitored with unused tranche capacity reallocated | TCA preferences for UK-originating steel preserved across the full UK tranche; all preferential access counting within the tranche | Year-three review able to adjust volumes and rates on objective pre-defined triggers: import surge relative to the three-year reference average, and capacity utilisation threshold set so current depressed market conditions can qualify; cap of +/-20%; adjustments by mutual agreement | FTA disapplication outside the tranche within scope of the year-three review with a presumption of remedy for demonstrated injury to UK-originating trade | Melt-and-pour and anti-circumvention disciplines based on standard certification and existing customs data only - verification, not volume restriction | Compensation schedule developed at technical level with concrete valuations across aluminium, chemicals and fertilisers, agri-food and machinery lines, with priority to industrial goods lines of UK export interest | UK restraint commitment as drafted: the UK will not initiate or join a dispute concerning this measure while it operates as agreed, contingent on mutual performance | UK steel measure: no worsening of EU country-specific access for three years, transparent administration, advance consultation before changes",2652
accommodating__rep2__2026-08-27T21-04-27-460Z,accommodating,2,5,1,eu-geneva,opening,400000,250000,country_specific,50,4,True,UK tranche administered by licensing rather than first-come first-served | Open to product-line carve-outs within the 41 tariff lines | Open to compensation concessions on other lines in the EU schedule | Review clause timing and scope to be designed jointly,1359
accommodating__rep2__2026-08-27T21-04-27-460Z,accommodating,2,6,1,uk-geneva,counter,3000000,2200000,country_specific,25,5,True,"Licence-based administration of the TRQ (accepted as basis) | Removal of the provision disapplying FTA tariff reductions for UK-origin steel | Product-line carve-outs to be defined using UK product-level trade data, focused on specialised low-volume lines | Linkage to treatment of EU exporters under the UK's own steel measure, preserving their country-specific quota allocations",2160
