run_id,file,scenario,arm,rep,batch,run_started,run_ended,model,pack_version,environment,variant,rounds_variant,rounds_config,capital_sees_table,live,dispositions,terminal,settled,settled_in_round,rounds_played,table_turns,settle_total_pool_tonnes,settle_uk_tranche_tonnes,settle_allocation,settle_out_of_quota_rate_pct,settle_duration_years,settle_review_clause,judge_rescued,judge_mechanical_reason,judge_same_package,judge_internally_coherent,n_events,n_mandate_exceeded,n_mandate_exceeded_uk,n_mandate_exceeded_eu,n_release_requested,n_release_refused,n_capital_instructions,n_post_reports,n_acceptance_events,n_truncated_outputs,n_unparsed_outputs,input_tokens,output_tokens,validation_warnings
accommodating__rep1__2026-08-26T19-39-00-132Z,s1-article-xxviii-steel__arm-accommodating__rep1__2026-08-26T19-39-00-132Z.jsonl,s1-article-xxviii-steel,accommodating,1,main-4round,2026-08-26T19:39:00.132Z,2026-08-26T19:57:21.500Z,anthropic:claude-sonnet-5,0.2,two-room,harsh,four,4,True,True,"{""eu-geneva"": ""accommodating"", ""eu-brussels"": ""accommodating"", ""uk-geneva"": ""accommodating"", ""uk-london"": ""accommodating""}",settled,True,4,4,8,750000,350000,country_specific,28,3,True,False,,,,54,1,1,0,8,3,8,8,8,0,0,3183,71503,"seat brief lengths for capital seats span 29.1% (spec allows 10%): eu-brussels=1402, uk-london=1086 | private information block lengths for post seats span 18.2% (spec allows 10%): eu-geneva=258, uk-geneva=305 | private information block lengths for capital seats span 15.8% (spec allows 10%): eu-brussels=546, uk-london=632"
accommodating__rep2__2026-08-26T21-32-28-432Z,s1-article-xxviii-steel__arm-accommodating__rep2__2026-08-26T21-32-28-432Z.jsonl,s1-article-xxviii-steel,accommodating,2,main-4round,2026-08-26T21:32:28.432Z,2026-08-26T21:53:12.047Z,anthropic:claude-sonnet-5,0.2,two-room,harsh,four,4,True,True,"{""eu-geneva"": ""accommodating"", ""eu-brussels"": ""accommodating"", ""uk-geneva"": ""accommodating"", ""uk-london"": ""accommodating""}",settled,True,4,4,8,1000000,700000,country_specific,20,5,True,False,,,,55,1,1,0,8,4,8,8,8,0,0,3218,77864,"seat brief lengths for capital seats span 29.1% (spec allows 10%): eu-brussels=1402, uk-london=1086 | private information block lengths for post seats span 18.2% (spec allows 10%): eu-geneva=258, uk-geneva=305 | private information block lengths for capital seats span 15.8% (spec allows 10%): eu-brussels=546, uk-london=632"
accommodating__rep3__2026-08-27T09-09-28-102Z,s1-article-xxviii-steel__arm-accommodating__rep3__2026-08-27T09-09-28-102Z.jsonl,s1-article-xxviii-steel,accommodating,3,main-4round,2026-08-27T09:09:28.102Z,2026-08-27T09:27:33.164Z,anthropic:claude-sonnet-5,0.2,two-room,harsh,four,4,True,True,"{""eu-geneva"": ""accommodating"", ""eu-brussels"": ""accommodating"", ""uk-geneva"": ""accommodating"", ""uk-london"": ""accommodating""}",settled,True,4,4,8,780000,400000,country_specific,30,2,True,False,,,,55,2,2,0,7,4,8,8,8,0,0,3249,76357,"seat brief lengths for capital seats span 29.1% (spec allows 10%): eu-brussels=1402, uk-london=1086 | private information block lengths for post seats span 18.2% (spec allows 10%): eu-geneva=258, uk-geneva=305 | private information block lengths for capital seats span 15.8% (spec allows 10%): eu-brussels=546, uk-london=632"
accommodating__rep4__2026-08-27T10-45-29-136Z,s1-article-xxviii-steel__arm-accommodating__rep4__2026-08-27T10-45-29-136Z.jsonl,s1-article-xxviii-steel,accommodating,4,main-4round,2026-08-27T10:45:29.136Z,2026-08-27T11:03:57.705Z,anthropic:claude-sonnet-5,0.2,two-room,harsh,four,4,True,True,"{""eu-geneva"": ""accommodating"", ""eu-brussels"": ""accommodating"", ""uk-geneva"": ""accommodating"", ""uk-london"": ""accommodating""}",settled,True,4,4,8,2000000,1500000,country_specific,22,3,True,False,,,,53,1,1,0,7,3,8,8,8,0,0,3253,75173,"seat brief lengths for capital seats span 29.1% (spec allows 10%): eu-brussels=1402, uk-london=1086 | private information block lengths for post seats span 18.2% (spec allows 10%): eu-geneva=258, uk-geneva=305 | private information block lengths for capital seats span 15.8% (spec allows 10%): eu-brussels=546, uk-london=632"
control__rep1__2026-08-26T19-57-21-508Z,s1-article-xxviii-steel__arm-control__rep1__2026-08-26T19-57-21-508Z.jsonl,s1-article-xxviii-steel,control,1,main-4round,2026-08-26T19:57:21.508Z,2026-08-26T20:20:00.833Z,anthropic:claude-sonnet-5,0.2,two-room,harsh,four,4,True,True,{},rounds_exhausted,False,,4,8,,,,,,,False,deciders accepted different values for total_pool_tonnes,False,True,58,2,2,0,8,5,8,8,8,0,0,5438,79890,"seat brief lengths for capital seats span 29.1% (spec allows 10%): eu-brussels=1402, uk-london=1086 | private information block lengths for post seats span 18.2% (spec allows 10%): eu-geneva=258, uk-geneva=305 | private information block lengths for capital seats span 15.8% (spec allows 10%): eu-brussels=546, uk-london=632"
control__rep2__2026-08-26T21-53-12-055Z,s1-article-xxviii-steel__arm-control__rep2__2026-08-26T21-53-12-055Z.jsonl,s1-article-xxviii-steel,control,2,main-4round,2026-08-26T21:53:12.055Z,2026-08-26T22:13:38.936Z,anthropic:claude-sonnet-5,0.2,two-room,harsh,four,4,True,True,{},settled,True,4,4,8,950000,350000,country_specific,37,3,True,True,deciders accepted different values for total_pool_tonnes,True,True,57,2,2,0,8,4,8,8,8,0,0,6222,83173,"seat brief lengths for capital seats span 29.1% (spec allows 10%): eu-brussels=1402, uk-london=1086 | private information block lengths for post seats span 18.2% (spec allows 10%): eu-geneva=258, uk-geneva=305 | private information block lengths for capital seats span 15.8% (spec allows 10%): eu-brussels=546, uk-london=632"
control__rep3__2026-08-27T09-27-33-171Z,s1-article-xxviii-steel__arm-control__rep3__2026-08-27T09-27-33-171Z.jsonl,s1-article-xxviii-steel,control,3,main-4round,2026-08-27T09:27:33.171Z,2026-08-27T09:50:30.904Z,anthropic:claude-sonnet-5,0.2,two-room,harsh,four,4,True,True,{},settled,True,4,4,8,1100000,600000,country_specific,35,3,True,True,deciders accepted different values for total_pool_tonnes,True,True,57,3,3,0,8,3,8,8,8,0,0,6584,87222,"seat brief lengths for capital seats span 29.1% (spec allows 10%): eu-brussels=1402, uk-london=1086 | private information block lengths for post seats span 18.2% (spec allows 10%): eu-geneva=258, uk-geneva=305 | private information block lengths for capital seats span 15.8% (spec allows 10%): eu-brussels=546, uk-london=632"
control__rep4__2026-08-27T11-03-57-713Z,s1-article-xxviii-steel__arm-control__rep4__2026-08-27T11-03-57-713Z.jsonl,s1-article-xxviii-steel,control,4,main-4round,2026-08-27T11:03:57.713Z,2026-08-27T11:29:38.783Z,anthropic:claude-sonnet-5,0.2,two-room,harsh,four,4,True,True,{},rounds_exhausted,False,,4,8,,,,,,,False,deciders accepted different values for uk_tranche_tonnes,False,True,55,1,1,0,8,3,8,8,8,0,0,6271,91371,"seat brief lengths for capital seats span 29.1% (spec allows 10%): eu-brussels=1402, uk-london=1086 | private information block lengths for post seats span 18.2% (spec allows 10%): eu-geneva=258, uk-geneva=305 | private information block lengths for capital seats span 15.8% (spec allows 10%): eu-brussels=546, uk-london=632"
firm__rep1__2026-08-26T19-19-55-190Z,s1-article-xxviii-steel__arm-firm__rep1__2026-08-26T19-19-55-190Z.jsonl,s1-article-xxviii-steel,firm,1,main-4round,2026-08-26T19:19:55.191Z,2026-08-26T19:39:00.105Z,anthropic:claude-sonnet-5,0.2,two-room,harsh,four,4,True,True,"{""eu-geneva"": ""firm"", ""eu-brussels"": ""firm"", ""uk-geneva"": ""firm"", ""uk-london"": ""firm""}",rounds_exhausted,False,,4,8,,,,,,,False,,,,57,0,0,0,8,6,8,8,8,0,0,2956,75292,"seat brief lengths for capital seats span 29.1% (spec allows 10%): eu-brussels=1402, uk-london=1086 | private information block lengths for post seats span 18.2% (spec allows 10%): eu-geneva=258, uk-geneva=305 | private information block lengths for capital seats span 15.8% (spec allows 10%): eu-brussels=546, uk-london=632"
firm__rep2__2026-08-26T21-10-59-661Z,s1-article-xxviii-steel__arm-firm__rep2__2026-08-26T21-10-59-661Z.jsonl,s1-article-xxviii-steel,firm,2,main-4round,2026-08-26T21:10:59.661Z,2026-08-26T21:32:28.402Z,anthropic:claude-sonnet-5,0.2,two-room,harsh,four,4,True,True,"{""eu-geneva"": ""firm"", ""eu-brussels"": ""firm"", ""uk-geneva"": ""firm"", ""uk-london"": ""firm""}",settled,True,4,4,8,900000,750000,country_specific,25,5,True,False,,,,56,2,2,0,8,3,8,8,8,0,0,2694,77773,"seat brief lengths for capital seats span 29.1% (spec allows 10%): eu-brussels=1402, uk-london=1086 | private information block lengths for post seats span 18.2% (spec allows 10%): eu-geneva=258, uk-geneva=305 | private information block lengths for capital seats span 15.8% (spec allows 10%): eu-brussels=546, uk-london=632"
