run_id,arm,rep,round,seat,country,term,authorised,tabled
accommodating__rep1__2026-08-24T20-54-07-920Z,accommodating,1,4,uk-geneva,uk,trq_volume_tonnes,1900000,1850000
accommodating__rep1__2026-08-26T19-39-00-132Z,accommodating,1,3,uk-geneva,uk,total_pool_tonnes,900000,800000
accommodating__rep1__2026-08-26T19-39-00-132Z,accommodating,1,3,uk-geneva,uk,uk_tranche_tonnes,500000,400000
accommodating__rep1__2026-08-26T19-39-00-132Z,accommodating,1,3,uk-geneva,uk,out_of_quota_rate_pct,22,26
accommodating__rep2__2026-08-26T21-32-28-432Z,accommodating,2,3,uk-geneva,uk,total_pool_tonnes,1300000,1150000
accommodating__rep2__2026-08-26T21-32-28-432Z,accommodating,2,3,uk-geneva,uk,uk_tranche_tonnes,1000000,850000
accommodating__rep2__2026-08-26T21-32-28-432Z,accommodating,2,3,uk-geneva,uk,out_of_quota_rate_pct,18,20
accommodating__rep3__2026-08-27T09-09-28-102Z,accommodating,3,2,uk-geneva,uk,total_pool_tonnes,1000000,900000
accommodating__rep3__2026-08-27T09-09-28-102Z,accommodating,3,2,uk-geneva,uk,uk_tranche_tonnes,550000,450000
accommodating__rep3__2026-08-27T09-09-28-102Z,accommodating,3,2,uk-geneva,uk,out_of_quota_rate_pct,20,25
accommodating__rep3__2026-08-27T09-09-28-102Z,accommodating,3,3,uk-geneva,uk,total_pool_tonnes,900000,800000
accommodating__rep3__2026-08-27T09-09-28-102Z,accommodating,3,3,uk-geneva,uk,uk_tranche_tonnes,450000,420000
accommodating__rep3__2026-08-27T09-09-28-102Z,accommodating,3,3,uk-geneva,uk,out_of_quota_rate_pct,25,30
accommodating__rep4__2026-08-27T10-45-29-136Z,accommodating,4,2,uk-geneva,uk,total_pool_tonnes,3500000,2500000
accommodating__rep4__2026-08-27T10-45-29-136Z,accommodating,4,2,uk-geneva,uk,uk_tranche_tonnes,2200000,1800000
accommodating__rep4__2026-08-27T10-45-29-136Z,accommodating,4,2,uk-geneva,uk,out_of_quota_rate_pct,15,20
control__rep1__2026-08-24T19-41-35-713Z,control,1,4,uk-geneva,uk,trq_volume_tonnes,1500000,1300000
control__rep1__2026-08-24T19-41-35-713Z,control,1,4,uk-geneva,uk,out_of_quota_rate_pct,15,20
control__rep1__2026-08-24T19-41-35-713Z,control,1,5,uk-geneva,uk,out_of_quota_rate_pct,18,20
control__rep1__2026-08-24T19-41-35-713Z,control,1,6,uk-geneva,uk,trq_volume_tonnes,900000,850000
control__rep1__2026-08-26T19-57-21-508Z,control,1,3,uk-geneva,uk,uk_tranche_tonnes,1400000,1200000
control__rep1__2026-08-26T19-57-21-508Z,control,1,3,uk-geneva,uk,out_of_quota_rate_pct,25,26
control__rep1__2026-08-26T19-57-21-508Z,control,1,4,uk-geneva,uk,total_pool_tonnes,1100000,1050000
control__rep1__2026-08-26T19-57-21-508Z,control,1,4,uk-geneva,uk,uk_tranche_tonnes,950000,900000
control__rep1__2026-08-26T19-57-21-508Z,control,1,4,uk-geneva,uk,out_of_quota_rate_pct,25,26
control__rep2__2026-08-26T21-53-12-055Z,control,2,2,uk-geneva,uk,uk_tranche_tonnes,1800000,1500000
control__rep2__2026-08-26T21-53-12-055Z,control,2,2,uk-geneva,uk,out_of_quota_rate_pct,25,30
control__rep2__2026-08-26T21-53-12-055Z,control,2,4,uk-geneva,uk,uk_tranche_tonnes,500000,400000
control__rep2__2026-08-26T21-53-12-055Z,control,2,4,uk-geneva,uk,out_of_quota_rate_pct,35,37
control__rep3__2026-08-27T09-27-33-171Z,control,3,2,uk-geneva,uk,total_pool_tonnes,3000000,2400000
control__rep3__2026-08-27T09-27-33-171Z,control,3,2,uk-geneva,uk,uk_tranche_tonnes,2000000,1600000
control__rep3__2026-08-27T09-27-33-171Z,control,3,3,uk-geneva,uk,total_pool_tonnes,1800000,1400000
control__rep3__2026-08-27T09-27-33-171Z,control,3,3,uk-geneva,uk,uk_tranche_tonnes,1200000,1000000
control__rep3__2026-08-27T09-27-33-171Z,control,3,3,uk-geneva,uk,out_of_quota_rate_pct,28,30
control__rep3__2026-08-27T09-27-33-171Z,control,3,4,uk-geneva,uk,uk_tranche_tonnes,750000,650000
control__rep3__2026-08-27T09-27-33-171Z,control,3,4,uk-geneva,uk,out_of_quota_rate_pct,33,35
control__rep4__2026-08-27T11-03-57-713Z,control,4,3,uk-geneva,uk,total_pool_tonnes,2000000,1500000
control__rep4__2026-08-27T11-03-57-713Z,control,4,3,uk-geneva,uk,uk_tranche_tonnes,1500000,1000000
control__rep4__2026-08-27T11-03-57-713Z,control,4,3,uk-geneva,uk,out_of_quota_rate_pct,22,25
firm__rep1__2026-08-24T20-22-24-391Z,firm,1,4,uk-geneva,uk,trq_volume_tonnes,1200000,1000000
firm__rep1__2026-08-24T20-22-24-391Z,firm,1,6,uk-geneva,uk,trq_volume_tonnes,200000,150000
firm__rep1__2026-08-24T20-22-24-391Z,firm,1,6,uk-geneva,uk,out_of_quota_rate_pct,35,40
firm__rep2__2026-08-26T21-10-59-661Z,firm,2,3,uk-geneva,uk,uk_tranche_tonnes,1800000,1200000
firm__rep2__2026-08-26T21-10-59-661Z,firm,2,4,uk-geneva,uk,total_pool_tonnes,950000,900000
firm__rep3__2026-08-27T08-39-40-327Z,firm,3,4,uk-geneva,uk,total_pool_tonnes,1500000,1200000
firm__rep3__2026-08-27T08-39-40-327Z,firm,3,4,uk-geneva,uk,uk_tranche_tonnes,1000000,700000
focal_firm_ukgva__rep1__2026-08-24T21-20-23-021Z,focal_firm_ukgva,1,3,uk-geneva,uk,out_of_quota_rate_pct,20,25
focal_firm_ukgva__rep1__2026-08-24T21-20-23-021Z,focal_firm_ukgva,1,5,uk-geneva,uk,trq_volume_tonnes,750000,650000
